"datetime","title","service","voc_type","voc_date","text"
"2019-03-21 오전 11:51:51","셔틀 좌석이 고장나있습니다",">  >","","","좌측 통로쪽 6번째쯤 좌석이 고정이안되어 등받이가 뒤로 계속 밀립니다원래배차받던 차는 그렇지않은데 가끔배차되는 좌석이동식 버스(통로측 좌석이 좌우로 움직이는)가 배차될때 예전에도 그랬는데 엊그제도 그러더라구요확인부탁드립니다"
"2019-03-21 오전 8:12:02","청운 4관 2층에 사는데 불편한 점이 너무 많습니다.","기타 > 이천 > 기숙사","불편 / 불편정도: 0","2019-03-21","설날 전에 떨어진 화장실 물비누는 다시 채워질 생각을 안 합니다.샤워실에 있는 멀티탭은 드라이어를 쓰라고 비치해둔 것 같은데  드라이어 하나도 제대로 못 버티는 멀티탭이 꽂는 곳만 4구면 도대체 어떻게 쓰라는 건지 모르겠네요.샤워실 문 열자마자 왼쪽에 있는 배수구는 막혀서 매일 물이 차오르고, 샤워헤드는 기숙사 쓰기 시작했을 때부터 느꼈는데 파손되어서 물이 자꾸 새나갑니다. 빠른 조치 부탁드립니다."
"2019-03-20 오후 11:17:46","편의식 선택","식당 > 이천 > 복지관 > 조식","건의","2019-03-20","편의식 건의드립니다.건강식도 좋지만 우선 배가 안차요.. 우선 배가 든든해야 일을 하는데 샌드위치 한두조각 먹고 배 안찹니다.빵 두개 음료 두개씩 이라도 선택할수 있게 건의드립니다.빵하나 음료하나 그리고 바나나+아무거나... 이젠 질립니다.샌드위치 샐러드... 배고파요..ㅠ"
"2019-03-20 오후 6:05:06","통신사 KT","기타 > 청주 > 기타","불편 / 불편정도: 5","2019-03-20","통신사 KT를 사용중인데 너무 안터져서 확인해보니 SK에서 KT 통신망을 설치 못하게 한다고 하는데KT사용자는 공장에서 핸드폰을 사용 못하나요?급한 전화나 문자 등 받아야할때는 어떻게 해야하죠?ㅠㅠSK공장이라 무조건 통신사를 SK써야하나요?..방법이 따로 없나요?너무 심할 정도로 3G가 뜰정도로 안터지네요이번에 통신사를 옮긴건데 핸드폰을 새로 사야하는건가요....?"
"2019-03-20 오후 12:58:39","기분이 별로네요",">  >","","","아침부터 기분이 안좋네요테이크아웃 바뀌고 좋아져서 식사보다는 샐러드를 이용하거나 테이크아웃을 이용하는 한사람입니다.양복입고 식당관리하시는 분 같은데 딸같아서 그러신지 모르겠지만 돈 내고 먹는 고객인데 반말..이건 기분 별로네요.레스토랑가도 나이 더 지긋한분들도 서비스업종이면 고객 우선인데 이건 동네 마트를 온 듯한 기분이네요..그런분이 직원들 서비스 교육을 제대로 시키겠습니까?아침부터 기분 별로네요"
"2019-03-20","기사님의 친절함에 인사에 기분좋은 하루입니다.","secret","","",""
"2019-03-19","의심","secret","","",""
"2019-03-19","음식 간안보시는지요?","secret","","",""
"2019-03-19","어정/마북/동백 정류장 신설 건의드립니다.","secret","","",""
"2019-03-19 오전 10:07:03","건강식 1번 샐러드(단품) 소스관련. 및 기타의견","식당 > 이천 > 복지관 > 조식","불편 - 기타","2019-03-19","요즘에 건강식으로 샐러드 나오는데 1번 샐러드(단품)을 자주 이용합니다만. 소스가 왜 밑에 있나요? 맨처음 시식할때 야채만 먹고 나서 나중에 소스가 있는지 알았습니다. 솔직히 샐러드를 뒤집어서 먹지는 않기에 소스를 위에 있었으면 합니다. 시중에 파는 샐러드도 소스는 위에 있지 아래에 있지는 않습니다. 그리고 아침식사 시간에 식사하는 구성원이 많은데 바쁜시간에 굳이 여사님들이 이야기를 히시면서 일하시는게 쫌 그렇습니다.  그 덕분에 반찬하나씩을 못 먹네요. 부탁드립니다. 이야기는 쉬시는 시간에 부탁드립니다. 수고하세요!!"
"2019-03-18","샐러드에 나오는 나쵸 메뉴 맛잇어요 ","secret","","",""
"2019-03-18 오전 8:16:24","다이어트메뉴 부활 요청건","식당 > 이천 > SKY > 조식","건의","2019-03-15","갑자기 다이어트 메뉴가 없어졌네요..없어진다고 공지하셨는지 모르겠지만.. 갑자기여러 과일이 있는 다이어트 메뉴 다시 만들어 주세요.그리고 메뉴를 바꾸실떄에는 의견을 묻고 진행해 주세요."
"2019-03-17 오후 11:13:12","제발요 히터  좀  꺼주세요",">  >","","","아직도 기사님은 겨울인가?혼자 셔츠만 입고 계신데 타고있는 저는발목이 없어 지겠네요너무 뜨거워서~~~~제발 히터 꺼주세요"
"2019-03-17","분실물 문의","secret","","",""
"2019-03-17 오후 5:14:40","식단에서 꼭 일본어 사용이 필요한가요?",">  >","","","가라아게오므라이스, 멘츠가츠오므라이스음식이름을 굳이 일본어로 표기하는 이유가 뭔가요?한글로는 설명할 수 없는 음식인가요?그리고 이천은 원산지 표시를 하는데 청주는 안하는 이유가 뭔가요?"
"2019-03-16 오후 10:18:18","행복마을 정말.......","식당 > 이천 > 행복1 > 중식","칭찬 - 맛&품질","2019-03-15","요새 행복마을 너무 맛있어진것 같아요~~？？？？ 신경쓰시는것 같아 좋네요~ 앞으로도 더 좋은 음식으로 제공해주세요!？？？？"
"2019-03-16","m15 4캠퍼스 동문(통근버스정류장 앞)게이트에 노트북을 맡겼습니다","secret","","",""
"2019-03-15 오후 9:08:40","요플레 오늘도 안나왔네요....","식당 > 청주 > 1캠퍼스 > 석식","문의","2018-03-15","이번주에는 요플레가 나올줄 알았는데 나오지가 않았네요 ,  ㅜ , ㅜ 요플레 간곡히 부탁드립니다."
"2019-03-15","장지 - 잠실 노선 정류소 확대 요청드립니다.","secret","","",""
"2019-03-15 오후 6:09:27","동탄 5시 퇴근버스 노선  숙지 바랍니다.",">  >","","","4시 55분에 출발한 동탄 5시버스가 우남 퍼스트빌 건너편을 지나치고다음정거장을 가는 바람에 우남퍼스트빌  건너편에서 내리는 사람들이 마지막에내리게 되었습니다.1동탄을  한바퀴 돌고 내려 시간이 많이 소요 돼었네요다음부터는 노선숙지하여 운행 바랍니다."
"2019-03-15 오후 12:10:32","위생교육이 필요해보입니다.","식당 > 이천 > 중앙 > 중식","불편 - 위생","2019-03-15","중앙식당에서 육개장을 먹으려고 기다리던 중에 육개장에 들어가는 당면이 급식대차에 흘려진것을 행주로 닦는 것을 보았습니다. 그런데 그 손에 낀 장갑을 갈아끼우지 않고  행주를 잡았던 손으로 육개장 당면을 국그릇에 담아서 배식해주더군요.주변에 동료들도 보았을텐데 아무런 제지 없이  자연스럽게 배식하는 것을 보니 보이지 않는 곳은 위생이 어떨까 궁금해지더라구요. 덕분에 입맛도 사라지고 밥도 먹다 말았네요.위생에 좀 더 신경써주시면 고맙겠습니다."
"2019-03-14 오후 2:10:39","잠실-송파-복정 자율출퇴근 조기출근 버스 증차 요청합니다.","통근/셔틀버스 > 이천 > 장거리출근 > 잠실-송파-복정 자율출퇴근 조기출근 버스 증차 요청","건의 - 노선(정류장)신설 및 증차","2019-03-14","지금도 잠실에서 천호 상일동을 지나는 조기출근 버스가 만차되어 매일 10~20명 정도의 인원이 택시를 타고 출근하고 있다고 합니다. 잠실에서 송파를 지나서 복정까지 가는 자율 출퇴근 조기출근 버스가 추가로 생긴다면 기존의 노선 만차 문제도 해결되고 석촌 송파 가락시장 문정쪽에 거주하는 구성원들의 조기 출근도 수월해질 듯 합니다. 현재는 석촌에서 송파 가락시장 문정쪽에 살고있는 구성원들은 조기 출근을 위해서 잠실까지 시내버스를 20~30분 정도를 타고 가서 조기출근 버스를 타야하는 상황입니다. 조기출근버스에 대한 수요는 충분히 있을 것 같아서 건의드립니다."
