,voc_type,counts
0,건의,47
1,건의 - 기타,3
2,건의 - 노선(정류장)신설 및 증차,9
3,건의 / 노선(정류장)신설 및 증차,4
4,문의,44
5,불편 - 기타,34
6,불편 - 맛&품질,23
7,불편 - 불친절,8
8,불편 - 시설 환경,1
9,불편 - 안전(과속/난폭운전),7
10,불편 - 위생,6
11,"불편 - 이상운행(결행,지연,미정차)",7
12,불편 - 혼잡,1
13,불편 / 기타 / 불편정도: 0,4
14,불편 / 기타 / 불편정도: 2,1
15,불편 / 기타 / 불편정도: 4,1
16,불편 / 기타 / 불편정도: 5,8
17,불편 / 맛&품질 / 불편정도: 0,3
18,불편 / 맛&품질 / 불편정도: 1,1
19,불편 / 맛&품질 / 불편정도: 5,4
20,불편 / 불친절 / 불편정도: 0,1
21,불편 / 불친절 / 불편정도: 1,1
22,불편 / 불친절 / 불편정도: 5,3
23,불편 / 불편정도: 0,14
24,불편 / 불편정도: 1,1
25,불편 / 불편정도: 3,2
26,불편 / 불편정도: 4,1
27,불편 / 불편정도: 5,9
28,불편 / 안전(과속/난폭운전) / 불편정도: 5,1
29,불편 / 위생 / 불편정도: 1,1
30,불편 / 위생 / 불편정도: 4,1
31,불편 / 위생 / 불편정도: 5,3
32,"불편 / 이상운행(결행,지연,미정차) / 불편정도: 1",1
33,"불편 / 이상운행(결행,지연,미정차) / 불편정도: 5",3
34,불편 / 혼잡 / 불편정도: 4,1
35,불편 / 혼잡 / 불편정도: 5,1
36,선택하세요,5
37,칭찬,18
38,칭찬 - 맛&품질,23
39,칭찬 - 친절,13
40,칭찬 / 맛&품질,21
41,칭찬 / 친절,16
